{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.889  5  10  102    0.5601 -0.0924  0.2095
  -4.889 -4.716  5  10  121    0.7696 -0.3192 -0.5000
  -4.716 -4.538  5  10  145    0.7250  0.2402  0.5000
  -4.538 -4.363  5  10  173    0.7114  0.1640  0.5000
  -4.363 -4.191  5  10  205    0.7257  0.1000  0.5000
  -4.191 -4.013  5  10  245    0.7757  0.0475  0.2694
  -4.013 -3.839  5  10  292    0.8423 -0.1259 -0.0411
  -3.839 -3.664  5  10  348    0.8936 -0.1490 -0.0656
  -3.664 -3.489  5  10  414    0.9144 -0.1214  0.0418
  -3.489 -3.314  5  10  493    0.9361  0.0493  0.2887
  -3.314 -3.139  5  10  588    0.9293  0.0011  0.2549
  -3.139 -2.964  5  10  700    0.8571  0.1021  0.5000
  -2.964 -2.853  5  10  781    0.8169  0.0031 -0.0628
  -2.853 -2.650  5  10  956    0.7178  0.1273  0.4276
  -2.650 -2.500  5  10 1108    0.7036  0.1964  0.4156
  -2.500 -2.322  5  10 1321    0.8424  0.0832  0.2687
  -2.322 -2.172  5  10 1529    0.9291  0.0456 -0.0619
  -2.172 -2.043  5  10 1733    0.9350  0.0277 -0.0267
  -2.043 -1.930  5  10 1933    0.9497  0.0153 -0.0643
  -1.930 -1.830  5  10 2126    0.9566  0.0516 -0.0042
  -1.830 -1.740  5  10 2315    0.9622  0.0361 -0.0886
  -1.740 -1.653  5  10 2511    0.9585  0.0574  0.0126
  -1.653 -1.566  5  10 2721    0.9639  0.0521  0.0139
  -1.566 -1.479  5  10 2946    0.9530  0.0455  0.0487
  -1.479 -1.392  5  10 3183    1.0074 -0.0572 -0.3406
  -1.392 -1.305  5  10 3435    0.9899 -0.0067 -0.0413
  -1.305 -1.218  5  10 3699    0.9986 -0.0001 -0.0980
  -1.218 -1.131  5  10 3974    0.9894  0.0033 -0.0157
  -1.131 -1.044  5  10 4259    0.9967 -0.0155 -0.0633
  -1.044 -0.957  5  10 4551    0.9942  0.0018 -0.0395
  -0.957 -0.879  5  10 4816    0.9921  0.0060  0.0434
  -0.879 -0.783  5  10 5141    1.0036 -0.0103 -0.0280
  -0.783 -0.696  5  10 5430    0.9997  0.0010  0.0049
  -0.696 -0.609  5  10 5708    1.0099 -0.0052 -0.0307
  -0.609 -0.522  5  10 5968    0.9968  0.0054  0.0227
  -0.522 -0.435  5  10 6203    1.0026 -0.0024 -0.0038
  -0.435 -0.348  5  10 6408    0.9964  0.0076  0.0437
  -0.348 -0.261  5  10 6574    1.0045  0.0012  0.0185
  -0.261 -0.174  5  10 6698    1.0105 -0.0017  0.0077
  -0.174 -0.087  5  10 6774    0.9935  0.0162  0.1042
  -0.087 -0.000  5  10 6800    0.9986  0.0069  0.0664
  +0.000 +0.087  5  10 6800    0.9986  0.0069  0.0664
  +0.087 +0.174  5  10 6774    0.9935  0.0162  0.1042
  +0.174 +0.261  5  10 6698    1.0105 -0.0017  0.0077
  +0.261 +0.348  5  10 6574    1.0045  0.0012  0.0185
  +0.348 +0.435  5  10 6408    0.9964  0.0076  0.0437
  +0.435 +0.522  5  10 6203    1.0026 -0.0024 -0.0038
  +0.522 +0.609  5  10 5968    0.9968  0.0054  0.0227
  +0.609 +0.696  5  10 5708    1.0099 -0.0052 -0.0307
  +0.696 +0.783  5  10 5430    0.9997  0.0010  0.0049
  +0.783 +0.879  5  10 5141    1.0036 -0.0103 -0.0280
  +0.879 +0.957  5  10 4816    0.9921  0.0060  0.0434
  +0.957 +1.044  5  10 4551    0.9942  0.0018 -0.0395
  +1.044 +1.131  5  10 4259    0.9967 -0.0155 -0.0633
  +1.131 +1.218  5  10 3974    0.9894  0.0033 -0.0157
  +1.218 +1.305  5  10 3699    0.9986 -0.0001 -0.0980
  +1.305 +1.392  5  10 3435    0.9899 -0.0067 -0.0413
  +1.392 +1.479  5  10 3183    1.0074 -0.0572 -0.3406
  +1.479 +1.566  5  10 2946    0.9530  0.0455  0.0487
  +1.566 +1.653  5  10 2721    0.9639  0.0521  0.0139
  +1.653 +1.740  5  10 2511    0.9585  0.0574  0.0126
  +1.740 +1.830  5  10 2315    0.9622  0.0361 -0.0886
  +1.830 +1.930  5  10 2126    0.9566  0.0516 -0.0042
  +1.930 +2.043  5  10 1933    0.9497  0.0153 -0.0643
  +2.043 +2.172  5  10 1733    0.9350  0.0277 -0.0267
  +2.172 +2.322  5  10 1529    0.9291  0.0456 -0.0619
  +2.322 +2.500  5  10 1321    0.8424  0.0832  0.2687
  +2.500 +2.650  5  10 1108    0.7036  0.1964  0.4156
  +2.650 +2.853  5  10  956    0.7178  0.1273  0.4276
  +2.853 +2.964  5  10  781    0.8169  0.0031 -0.0628
  +2.964 +3.139  5  10  700    0.8571  0.1021  0.5000
  +3.139 +3.314  5  10  588    0.9293  0.0011  0.2549
  +3.314 +3.489  5  10  493    0.9361  0.0493  0.2887
  +3.489 +3.664  5  10  414    0.9144 -0.1214  0.0418
  +3.664 +3.839  5  10  348    0.8936 -0.1490 -0.0656
  +3.839 +4.013  5  10  292    0.8423 -0.1259 -0.0411
