{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.889  5  10  102    0.6797 -0.5667 -0.5000
  -4.889 -4.716  5  10  121    0.5894 -0.0472  0.5000
  -4.716 -4.538  5  10  145    0.8009 -0.2762 -0.5000
  -4.538 -4.363  5  10  173    0.7742 -0.3851 -0.3904
  -4.363 -4.191  5  10  205    0.7644 -0.1712 -0.0869
  -4.191 -4.013  5  10  245    0.7824 -0.0158  0.2265
  -4.013 -3.839  5  10  292    0.8342 -0.0356  0.1136
  -3.839 -3.664  5  10  348    0.8558 -0.0012  0.3234
  -3.664 -3.489  5  10  414    0.8839  0.0342  0.3813
  -3.489 -3.314  5  10  493    0.9233  0.0530  0.3584
  -3.314 -3.139  5  10  588    0.9044  0.0827  0.4369
  -3.139 -2.964  5  10  700    0.8571  0.0914  0.5000
  -2.964 -2.853  5  10  781    0.7768  0.1054  0.2201
  -2.853 -2.650  5  10  956    0.7390  0.1005  0.3737
  -2.650 -2.500  5  10 1108    0.7365  0.1679  0.2677
  -2.500 -2.322  5  10 1321    0.8761  0.0768  0.1495
  -2.322 -2.172  5  10 1529    0.9706  0.0049 -0.3048
  -2.172 -2.043  5  10 1733    0.9634  0.0084 -0.1462
  -2.043 -1.930  5  10 1933    0.9625  0.0243 -0.0746
  -1.930 -1.830  5  10 2126    0.9656  0.0399 -0.0258
  -1.830 -1.740  5  10 2315    0.9782  0.0272 -0.1208
  -1.740 -1.653  5  10 2511    0.9674  0.0434 -0.0255
  -1.653 -1.566  5  10 2721    0.9678  0.0479  0.0205
  -1.566 -1.479  5  10 2946    0.9634  0.0229  0.0068
  -1.479 -1.392  5  10 3183    1.0265 -0.0626 -0.4304
  -1.392 -1.305  5  10 3435    1.0183 -0.0352 -0.2223
  -1.305 -1.218  5  10 3699    1.0217 -0.0281 -0.2176
  -1.218 -1.131  5  10 3974    1.0015 -0.0093 -0.0727
  -1.131 -1.044  5  10 4259    0.9995 -0.0166 -0.0477
  -1.044 -0.957  5  10 4551    1.0114 -0.0175 -0.1175
  -0.957 -0.879  5  10 4816    1.0152 -0.0255 -0.1152
  -0.879 -0.783  5  10 5141    0.9999 -0.0019 -0.0048
  -0.783 -0.696  5  10 5430    0.9995  0.0034  0.0418
  -0.696 -0.609  5  10 5708    1.0091 -0.0034 -0.0160
  -0.609 -0.522  5  10 5968    1.0054 -0.0046 -0.0195
  -0.522 -0.435  5  10 6203    0.9941  0.0080  0.0381
  -0.435 -0.348  5  10 6408    0.9919  0.0073  0.0517
  -0.348 -0.261  5  10 6574    0.9944  0.0106  0.0709
  -0.261 -0.174  5  10 6698    0.9990  0.0111  0.0398
  -0.174 -0.087  5  10 6774    0.9905  0.0164  0.1034
  -0.087 -0.000  5  10 6800    0.9854  0.0162  0.0967
  +0.000 +0.087  5  10 6800    0.9854  0.0162  0.0967
  +0.087 +0.174  5  10 6774    0.9905  0.0164  0.1034
  +0.174 +0.261  5  10 6698    0.9990  0.0111  0.0398
  +0.261 +0.348  5  10 6574    0.9944  0.0106  0.0709
  +0.348 +0.435  5  10 6408    0.9919  0.0073  0.0517
  +0.435 +0.522  5  10 6203    0.9941  0.0080  0.0381
