{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.889  5  10  102    0.9427 -0.2409 -0.0828
  -4.889 -4.716  5  10  121    0.6999 -0.2905  0.5000
  -4.716 -4.538  5  10  145    0.7675 -0.2325  0.0124
  -4.538 -4.363  5  10  173    0.7867 -0.4777 -0.3422
  -4.363 -4.191  5  10  205    0.7157 -0.0171  0.5000
  -4.191 -4.013  5  10  245    0.7833 -0.0545  0.3069
  -4.013 -3.839  5  10  292    0.8226 -0.0394  0.2573
  -3.839 -3.664  5  10  348    0.8658 -0.0033  0.2564
  -3.664 -3.489  5  10  414    0.8740  0.0543  0.5000
  -3.489 -3.314  5  10  493    0.9304  0.0458  0.3157
  -3.314 -3.139  5  10  588    0.9152  0.0645  0.3712
  -3.139 -2.964  5  10  700    0.8546  0.1016  0.5000
  -2.964 -2.853  5  10  781    0.7653  0.1090  0.2401
  -2.853 -2.650  5  10  956    0.7351  0.1038  0.3835
  -2.650 -2.500  5  10 1108    0.7372  0.1747  0.2584
  -2.500 -2.322  5  10 1321    0.8800  0.0836  0.1704
  -2.322 -2.172  5  10 1529    0.9788  0.0089 -0.3286
  -2.172 -2.043  5  10 1733    0.9723  0.0075 -0.1726
  -2.043 -1.930  5  10 1933    0.9727  0.0228 -0.0976
  -1.930 -1.830  5  10 2126    0.9737  0.0373 -0.0736
  -1.830 -1.740  5  10 2315    0.9787  0.0308 -0.1309
  -1.740 -1.653  5  10 2511    0.9705  0.0408 -0.0268
  -1.653 -1.566  5  10 2721    0.9675  0.0472  0.0195
  -1.566 -1.479  5  10 2946    0.9641  0.0233  0.0066
  -1.479 -1.392  5  10 3183    1.0318 -0.0625 -0.4757
  -1.392 -1.305  5  10 3435    1.0179 -0.0330 -0.2308
  -1.305 -1.218  5  10 3699    1.0232 -0.0278 -0.2443
  -1.218 -1.131  5  10 3974    1.0001 -0.0088 -0.0592
  -1.131 -1.044  5  10 4259    0.9956 -0.0105 -0.0183
  -1.044 -0.957  5  10 4551    1.0050 -0.0095 -0.1041
  -0.957 -0.879  5  10 4816    1.0021 -0.0071 -0.0381
  -0.879 -0.783  5  10 5141    0.9983  0.0007 -0.0044
  -0.783 -0.696  5  10 5430    0.9977  0.0053  0.0514
  -0.696 -0.609  5  10 5708    1.0103 -0.0054 -0.0404
  -0.609 -0.522  5  10 5968    1.0034 -0.0032  0.0047
  -0.522 -0.435  5  10 6203    0.9952  0.0050  0.0343
  -0.435 -0.348  5  10 6408    0.9983  0.0008  0.0064
  -0.348 -0.261  5  10 6574    0.9958  0.0089  0.0640
  -0.261 -0.174  5  10 6698    1.0036  0.0049  0.0271
  -0.174 -0.087  5  10 6774    0.9899  0.0174  0.1341
  -0.087 -0.000  5  10 6800    0.9890  0.0107  0.0911
  +0.000 +0.087  5  10 6800    0.9890  0.0107  0.0911
  +0.087 +0.174  5  10 6774    0.9899  0.0174  0.1341
  +0.174 +0.261  5  10 6698    1.0036  0.0049  0.0271
  +0.261 +0.348  5  10 6574    0.9958  0.0089  0.0640
  +0.348 +0.435  5  10 6408    0.9983  0.0008  0.0064
  +0.435 +0.522  5  10 6203    0.9952  0.0050  0.0343
  +0.522 +0.609  5  10 5968    1.0034 -0.0032  0.0047
  +0.609 +0.696  5  10 5708    1.0103 -0.0054 -0.0404
  +0.696 +0.783  5  10 5430    0.9977  0.0053  0.0514
  +0.783 +0.879  5  10 5141    0.9983  0.0007 -0.0044
  +0.879 +0.957  5  10 4816    1.0021 -0.0071 -0.0381
  +0.957 +1.044  5  10 4551    1.0050 -0.0095 -0.1041
  +1.044 +1.131  5  10 4259    0.9956 -0.0105 -0.0183
  +1.131 +1.218  5  10 3974    1.0001 -0.0088 -0.0592
  +1.218 +1.305  5  10 3699    1.0232 -0.0278 -0.2443
  +1.305 +1.392  5  10 3435    1.0179 -0.0330 -0.2308
  +1.392 +1.479  5  10 3183    1.0318 -0.0625 -0.4757
  +1.479 +1.566  5  10 2946    0.9641  0.0233  0.0066
  +1.566 +1.653  5  10 2721    0.9675  0.0472  0.0195
  +1.653 +1.740  5  10 2511    0.9705  0.0408 -0.0268
  +1.740 +1.830  5  10 2315    0.9787  0.0308 -0.1309
  +1.830 +1.930  5  10 2126    0.9737  0.0373 -0.0736
  +1.930 +2.043  5  10 1933    0.9727  0.0228 -0.0976
  +2.043 +2.172  5  10 1733    0.9723  0.0075 -0.1726
  +2.172 +2.322  5  10 1529    0.9788  0.0089 -0.3286
  +2.322 +2.500  5  10 1321    0.8800  0.0836  0.1704
  +2.500 +2.650  5  10 1108    0.7372  0.1747  0.2584
  +2.650 +2.853  5  10  956    0.7351  0.1038  0.3835
  +2.853 +2.964  5  10  781    0.7653  0.1090  0.2401
  +2.964 +3.139  5  10  700    0.8546  0.1016  0.5000
  +3.139 +3.314  5  10  588    0.9152  0.0645  0.3712
  +3.314 +3.489  5  10  493    0.9304  0.0458  0.3157
  +3.489 +3.664  5  10  414    0.8740  0.0543  0.5000
  +3.664 +3.839  5  10  348    0.8658 -0.0033  0.2564
  +3.839 +4.013  5  10  292    0.8226 -0.0394  0.2573
  +4.013 +4.191  5  10  245    0.7833 -0.0545  0.3069
  +4.191 +4.363  5  10  205    0.7157 -0.0171  0.5000
  +4.363 +4.538  5  10  173    0.7867 -0.4777 -0.3422
  +4.538 +4.716  5  10  145    0.7675 -0.2325  0.0124
  +4.716 +4.889  5  10  121    0.6999 -0.2905  0.5000
  +4.889 +5.191  5  10  102    0.9427 -0.2409 -0.0828
