{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.889  5  10  102    1.0732  0.2761  0.4374
  -4.889 -4.716  5  10  121    1.0380  0.2432  0.5000
  -4.716 -4.538  5  10  145    0.9866  0.0350  0.3626
  -4.538 -4.363  5  10  173    0.9663  0.2610  0.5000
  -4.363 -4.191  5  10  205    0.9069  0.0731  0.5000
  -4.191 -4.013  5  10  245    0.9752 -0.0917 -0.0147
  -4.013 -3.839  5  10  292    0.9669 -0.0099  0.1580
  -3.839 -3.664  5  10  348    0.9381  0.1535  0.5000
  -3.664 -3.489  5  10  414    0.9767  0.0157  0.1223
  -3.489 -3.314  5  10  493    0.9845  0.0427  0.1731
  -3.314 -3.139  5  10  588    0.9462  0.0773  0.3150
  -3.139 -2.964  5  10  700    0.8766  0.1165  0.4997
  -2.964 -2.853  5  10  781    0.7830  0.1130 -0.1525
  -2.853 -2.650  5  10  956    0.7687  0.1032  0.2860
  -2.650 -2.500  5  10 1108    0.8028  0.1194  0.1792
  -2.500 -2.322  5  10 1321    0.8999  0.0769  0.0905
  -2.322 -2.172  5  10 1529    0.9837  0.0140 -0.3318
  -2.172 -2.043  5  10 1733    0.9807  0.0051 -0.1954
  -2.043 -1.930  5  10 1933    0.9768  0.0237 -0.1221
  -1.930 -1.830  5  10 2126    0.9742  0.0460 -0.0368
  -1.830 -1.740  5  10 2315    0.9778  0.0405 -0.0641
  -1.740 -1.653  5  10 2511    0.9700  0.0460 -0.0061
  -1.653 -1.566  5  10 2721    0.9699  0.0508 -0.0060
  -1.566 -1.479  5  10 2946    0.9592  0.0321  0.0617
  -1.479 -1.392  5  10 3183    1.0212 -0.0488 -0.3871
  -1.392 -1.305  5  10 3435    1.0117 -0.0277 -0.1912
  -1.305 -1.218  5  10 3699    1.0185 -0.0255 -0.1953
  -1.218 -1.131  5  10 3974    1.0009 -0.0096 -0.0853
  -1.131 -1.044  5  10 4259    0.9986 -0.0149 -0.0475
  -1.044 -0.957  5  10 4551    1.0052 -0.0108 -0.0981
  -0.957 -0.879  5  10 4816    0.9996 -0.0059 -0.0424
  -0.879 -0.783  5  10 5141    0.9967  0.0012  0.0078
  -0.783 -0.696  5  10 5430    0.9959  0.0078  0.0590
  -0.696 -0.609  5  10 5708    1.0016  0.0042  0.0394
  -0.609 -0.522  5  10 5968    1.0040 -0.0045 -0.0109
  -0.522 -0.435  5  10 6203    0.9977  0.0044  0.0071
  -0.435 -0.348  5  10 6408    0.9978  0.0008  0.0242
  -0.348 -0.261  5  10 6574    1.0012  0.0026  0.0272
  -0.261 -0.174  5  10 6698    1.0027  0.0089  0.0223
  -0.174 -0.087  5  10 6774    0.9960  0.0110  0.0750
  -0.087 -0.000  5  10 6800    0.9926  0.0071  0.0934
  +0.000 +0.087  5  10 6800    0.9926  0.0071  0.0934
  +0.087 +0.174  5  10 6774    0.9960  0.0110  0.0750
  +0.174 +0.261  5  10 6698    1.0027  0.0089  0.0223
  +0.261 +0.348  5  10 6574    1.0012  0.0026  0.0272
  +0.348 +0.435  5  10 6408    0.9978  0.0008  0.0242
  +0.435 +0.522  5  10 6203    0.9977  0.0044  0.0071
  +0.522 +0.609  5  10 5968    1.0040 -0.0045 -0.0109
  +0.609 +0.696  5  10 5708    1.0016  0.0042  0.0394
  +0.696 +0.783  5  10 5430    0.9959  0.0078  0.0590
  +0.783 +0.879  5  10 5141    0.9967  0.0012  0.0078
  +0.879 +0.957  5  10 4816    0.9996 -0.0059 -0.0424
  +0.957 +1.044  5  10 4551    1.0052 -0.0108 -0.0981
  +1.044 +1.131  5  10 4259    0.9986 -0.0149 -0.0475
  +1.131 +1.218  5  10 3974    1.0009 -0.0096 -0.0853
  +1.218 +1.305  5  10 3699    1.0185 -0.0255 -0.1953
  +1.305 +1.392  5  10 3435    1.0117 -0.0277 -0.1912
  +1.392 +1.479  5  10 3183    1.0212 -0.0488 -0.3871
  +1.479 +1.566  5  10 2946    0.9592  0.0321  0.0617
  +1.566 +1.653  5  10 2721    0.9699  0.0508 -0.0060
  +1.653 +1.740  5  10 2511    0.9700  0.0460 -0.0061
  +1.740 +1.830  5  10 2315    0.9778  0.0405 -0.0641
  +1.830 +1.930  5  10 2126    0.9742  0.0460 -0.0368
  +1.930 +2.043  5  10 1933    0.9768  0.0237 -0.1221
  +2.043 +2.172  5  10 1733    0.9807  0.0051 -0.1954
  +2.172 +2.322  5  10 1529    0.9837  0.0140 -0.3318
  +2.322 +2.500  5  10 1321    0.8999  0.0769  0.0905
  +2.500 +2.650  5  10 1108    0.8028  0.1194  0.1792
  +2.650 +2.853  5  10  956    0.7687  0.1032  0.2860
  +2.853 +2.964  5  10  781    0.7830  0.1130 -0.1525
  +2.964 +3.139  5  10  700    0.8766  0.1165  0.4997
  +3.139 +3.314  5  10  588    0.9462  0.0773  0.3150
  +3.314 +3.489  5  10  493    0.9845  0.0427  0.1731
  +3.489 +3.664  5  10  414    0.9767  0.0157  0.1223
  +3.664 +3.839  5  10  348    0.9381  0.1535  0.5000
  +3.839 +4.013  5  10  292    0.9669 -0.0099  0.1580
  +4.013 +4.191  5  10  245    0.9752 -0.0917 -0.0147
  +4.191 +4.363  5  10  205    0.9069  0.0731  0.5000
  +4.363 +4.538  5  10  173    0.9663  0.2610  0.5000
  +4.538 +4.716  5  10  145    0.9866  0.0350  0.3626
  +4.716 +4.889  5  10  121    1.0380  0.2432  0.5000
  +4.889 +5.191  5  10  102    1.0732  0.2761  0.4374
