{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.889  5  10  102    0.9771  0.2552  0.5000
  -4.889 -4.716  5  10  121    1.0899 -0.1756 -0.5000
  -4.716 -4.538  5  10  145    0.9511  0.2985  0.5000
  -4.538 -4.363  5  10  173    0.9588 -0.2283 -0.3007
  -4.363 -4.191  5  10  205    0.9991 -0.2129 -0.5000
  -4.191 -4.013  5  10  245    1.0338 -0.1368 -0.5000
  -4.013 -3.839  5  10  292    0.9567 -0.0077  0.0636
  -3.839 -3.664  5  10  348    0.9830  0.0228 -0.0223
  -3.664 -3.489  5  10  414    0.9930 -0.0748 -0.2068
  -3.489 -3.314  5  10  493    0.9929 -0.0087  0.0481
  -3.314 -3.139  5  10  588    1.0193 -0.0258 -0.1764
  -3.139 -2.964  5  10  700    0.8823  0.0803  0.5000
  -2.964 -2.853  5  10  781    0.7523  0.1415  0.5000
  -2.853 -2.650  5  10  956    0.7700  0.1259 -0.2676
  -2.650 -2.500  5  10 1108    0.8324  0.0914 -0.0797
  -2.500 -2.322  5  10 1321    0.9159  0.0738 -0.2733
  -2.322 -2.172  5  10 1529    0.9796  0.0282 -0.3723
  -2.172 -2.043  5  10 1733    0.9803  0.0079 -0.3152
  -2.043 -1.930  5  10 1933    0.9595  0.0415 -0.1278
  -1.930 -1.830  5  10 2126    0.9727  0.0432 -0.2006
  -1.830 -1.740  5  10 2315    0.9764  0.0380 -0.2491
  -1.740 -1.653  5  10 2511    0.9557  0.0599 -0.0293
  -1.653 -1.566  5  10 2721    0.9486  0.0646  0.0513
  -1.566 -1.479  5  10 2946    0.9499  0.0399  0.0132
  -1.479 -1.392  5  10 3183    0.9618  0.0312  0.0151
  -1.392 -1.305  5  10 3435    0.9841  0.0235 -0.0094
  -1.305 -1.218  5  10 3699    0.9790  0.0373  0.0830
  -1.218 -1.131  5  10 3974    0.9716  0.0322  0.1032
  -1.131 -1.044  5  10 4259    0.9850  0.0113  0.0132
  -1.044 -0.957  5  10 4551    0.9808  0.0288  0.0669
  -0.957 -0.879  5  10 4816    1.0014  0.0000 -0.0413
  -0.879 -0.783  5  10 5141    1.0024 -0.0035 -0.0465
  -0.783 -0.696  5  10 5430    0.9992  0.0033 -0.0218
  -0.696 -0.609  5  10 5708    0.9989  0.0068  0.0870
  -0.609 -0.522  5  10 5968    1.0134 -0.0157 -0.1013
  -0.522 -0.435  5  10 6203    0.9984 -0.0018  0.0277
  -0.435 -0.348  5  10 6408    1.0075 -0.0162 -0.0301
  -0.348 -0.261  5  10 6574    1.0018 -0.0041  0.0291
  -0.261 -0.174  5  10 6698    1.0127 -0.0096 -0.0518
  -0.174 -0.087  5  10 6774    1.0045 -0.0032  0.0296
  -0.087 -0.000  5  10 6800    1.0039 -0.0137  0.0242
  +0.000 +0.087  5  10 6800    1.0039 -0.0137  0.0242
  +0.087 +0.174  5  10 6774    1.0045 -0.0032  0.0296
  +0.174 +0.261  5  10 6698    1.0127 -0.0096 -0.0518
  +0.261 +0.348  5  10 6574    1.0018 -0.0041  0.0291
  +0.348 +0.435  5  10 6408    1.0075 -0.0162 -0.0301
  +0.435 +0.522  5  10 6203    0.9984 -0.0018  0.0277
  +0.522 +0.609  5  10 5968    1.0134 -0.0157 -0.1013
  +0.609 +0.696  5  10 5708    0.9989  0.0068  0.0870
  +0.696 +0.783  5  10 5430    0.9992  0.0033 -0.0218
  +0.783 +0.879  5  10 5141    1.0024 -0.0035 -0.0465
  +0.879 +0.957  5  10 4816    1.0014  0.0000 -0.0413
  +0.957 +1.044  5  10 4551    0.9808  0.0288  0.0669
  +1.044 +1.131  5  10 4259    0.9850  0.0113  0.0132
  +1.131 +1.218  5  10 3974    0.9716  0.0322  0.1032
  +1.218 +1.305  5  10 3699    0.9790  0.0373  0.0830
  +1.305 +1.392  5  10 3435    0.9841  0.0235 -0.0094
  +1.392 +1.479  5  10 3183    0.9618  0.0312  0.0151
  +1.479 +1.566  5  10 2946    0.9499  0.0399  0.0132
  +1.566 +1.653  5  10 2721    0.9486  0.0646  0.0513
  +1.653 +1.740  5  10 2511    0.9557  0.0599 -0.0293
  +1.740 +1.830  5  10 2315    0.9764  0.0380 -0.2491
  +1.830 +1.930  5  10 2126    0.9727  0.0432 -0.2006
  +1.930 +2.043  5  10 1933    0.9595  0.0415 -0.1278
  +2.043 +2.172  5  10 1733    0.9803  0.0079 -0.3152
  +2.172 +2.322  5  10 1529    0.9796  0.0282 -0.3723
  +2.322 +2.500  5  10 1321    0.9159  0.0738 -0.2733
  +2.500 +2.650  5  10 1108    0.8324  0.0914 -0.0797
  +2.650 +2.853  5  10  956    0.7700  0.1259 -0.2676
  +2.853 +2.964  5  10  781    0.7523  0.1415  0.5000
  +2.964 +3.139  5  10  700    0.8823  0.0803  0.5000
  +3.139 +3.314  5  10  588    1.0193 -0.0258 -0.1764
  +3.314 +3.489  5  10  493    0.9929 -0.0087  0.0481
  +3.489 +3.664  5  10  414    0.9930 -0.0748 -0.2068
  +3.664 +3.839  5  10  348    0.9830  0.0228 -0.0223
  +3.839 +4.013  5  10  292    0.9567 -0.0077  0.0636
  +4.013 +4.191  5  10  245    1.0338 -0.1368 -0.5000
  +4.191 +4.363  5  10  205    0.9991 -0.2129 -0.5000
  +4.363 +4.538  5  10  173    0.9588 -0.2283 -0.3007
  +4.538 +4.716  5  10  145    0.9511  0.2985  0.5000
  +4.716 +4.889  5  10  121    1.0899 -0.1756 -0.5000
  +4.889 +5.191  5  10  102    0.9771  0.2552  0.5000
