{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.889  5  10  102    1.0170 -0.0976 -0.1113
  -4.889 -4.716  5  10  121    1.0356 -0.2661 -0.1977
  -4.716 -4.538  5  10  145    0.9388 -0.0057 -0.0120
  -4.538 -4.363  5  10  173    0.8983 -0.0895  0.0484
  -4.363 -4.191  5  10  205    0.9032  0.0494  0.1430
  -4.191 -4.013  5  10  245    0.9220 -0.0006  0.0615
  -4.013 -3.839  5  10  292    0.9063  0.1029  0.2583
  -3.839 -3.664  5  10  348    0.9277  0.0393  0.1811
  -3.664 -3.489  5  10  414    0.9346  0.0363  0.1375
  -3.489 -3.314  5  10  493    0.9672  0.0140  0.0267
  -3.314 -3.139  5  10  588    0.9474  0.0657  0.1220
  -3.139 -2.964  5  10  700    0.8731  0.0936  0.3602
  -2.964 -2.853  5  10  781    0.7550  0.1263  0.4341
  -2.853 -2.650  5  10  956    0.7739  0.1105 -0.4205
  -2.650 -2.500  5  10 1108    0.7965  0.1461  0.0791
  -2.500 -2.322  5  10 1321    0.9114  0.0458 -0.5000
  -2.322 -2.172  5  10 1529    0.9589  0.0358 -0.5000
  -2.172 -2.043  5  10 1733    0.9483  0.0339 -0.3507
  -2.043 -1.930  5  10 1933    0.9506  0.0307 -0.3804
  -1.930 -1.830  5  10 2126    0.9312  0.0461 -0.2100
  -1.830 -1.740  5  10 2315    0.9398  0.0449 -0.3087
  -1.740 -1.653  5  10 2511    0.9313  0.0529 -0.1906
  -1.653 -1.566  5  10 2721    0.9298  0.0508 -0.1254
  -1.566 -1.479  5  10 2946    0.9242  0.0305 -0.0697
  -1.479 -1.392  5  10 3183    0.9485  0.0309 -0.0718
  -1.392 -1.305  5  10 3435    0.9644  0.0586  0.0179
  -1.305 -1.218  5  10 3699    0.9721  0.0543  0.0161
  -1.218 -1.131  5  10 3974    0.9733  0.0312  0.0237
  -1.131 -1.044  5  10 4259    0.9766  0.0199  0.0338
  -1.044 -0.957  5  10 4551    0.9805  0.0188 -0.0012
  -0.957 -0.879  5  10 4816    0.9864  0.0071  0.0025
  -0.879 -0.783  5  10 5141    0.9919  0.0041  0.0080
  -0.783 -0.696  5  10 5430    0.9958  0.0127  0.0270
  -0.696 -0.609  5  10 5708    1.0020 -0.0023 -0.0089
  -0.609 -0.522  5  10 5968    1.0047 -0.0064  0.0206
  -0.522 -0.435  5  10 6203    1.0116 -0.0094 -0.0187
  -0.435 -0.348  5  10 6408    1.0148 -0.0114 -0.0050
  -0.348 -0.261  5  10 6574    1.0132 -0.0171  0.0055
  -0.261 -0.174  5  10 6698    1.0119 -0.0161  0.0198
  -0.174 -0.087  5  10 6774    1.0145 -0.0096  0.0147
  -0.087 -0.000  5  10 6800    1.0142 -0.0260 -0.0032
  +0.000 +0.087  5  10 6800    1.0142 -0.0260 -0.0032
  +0.087 +0.174  5  10 6774    1.0145 -0.0096  0.0147
  +0.174 +0.261  5  10 6698    1.0119 -0.0161  0.0198
  +0.261 +0.348  5  10 6574    1.0132 -0.0171  0.0055
  +0.348 +0.435  5  10 6408    1.0148 -0.0114 -0.0050
  +0.435 +0.522  5  10 6203    1.0116 -0.0094 -0.0187
  +0.522 +0.609  5  10 5968    1.0047 -0.0064  0.0206
  +0.609 +0.696  5  10 5708    1.0020 -0.0023 -0.0089
  +0.696 +0.783  5  10 5430    0.9958  0.0127  0.0270
  +0.783 +0.879  5  10 5141    0.9919  0.0041  0.0080
  +0.879 +0.957  5  10 4816    0.9864  0.0071  0.0025
  +0.957 +1.044  5  10 4551    0.9805  0.0188 -0.0012
  +1.044 +1.131  5  10 4259    0.9766  0.0199  0.0338
  +1.131 +1.218  5  10 3974    0.9733  0.0312  0.0237
  +1.218 +1.305  5  10 3699    0.9721  0.0543  0.0161
  +1.305 +1.392  5  10 3435    0.9644  0.0586  0.0179
  +1.392 +1.479  5  10 3183    0.9485  0.0309 -0.0718
  +1.479 +1.566  5  10 2946    0.9242  0.0305 -0.0697
  +1.566 +1.653  5  10 2721    0.9298  0.0508 -0.1254
  +1.653 +1.740  5  10 2511    0.9313  0.0529 -0.1906
  +1.740 +1.830  5  10 2315    0.9398  0.0449 -0.3087
  +1.830 +1.930  5  10 2126    0.9312  0.0461 -0.2100
  +1.930 +2.043  5  10 1933    0.9506  0.0307 -0.3804
  +2.043 +2.172  5  10 1733    0.9483  0.0339 -0.3507
  +2.172 +2.322  5  10 1529    0.9589  0.0358 -0.5000
  +2.322 +2.500  5  10 1321    0.9114  0.0458 -0.5000
  +2.500 +2.650  5  10 1108    0.7965  0.1461  0.0791
  +2.650 +2.853  5  10  956    0.7739  0.1105 -0.4205
  +2.853 +2.964  5  10  781    0.7550  0.1263  0.4341
  +2.964 +3.139  5  10  700    0.8731  0.0936  0.3602
  +3.139 +3.314  5  10  588    0.9474  0.0657  0.1220
  +3.314 +3.489  5  10  493    0.9672  0.0140  0.0267
  +3.489 +3.664  5  10  414    0.9346  0.0363  0.1375
  +3.664 +3.839  5  10  348    0.9277  0.0393  0.1811
  +3.839 +4.013  5  10  292    0.9063  0.1029  0.2583
  +4.013 +4.191  5  10  245    0.9220 -0.0006  0.0615
  +4.191 +4.363  5  10  205    0.9032  0.0494  0.1430
  +4.363 +4.538  5  10  173    0.8983 -0.0895  0.0484
  +4.538 +4.716  5  10  145    0.9388 -0.0057 -0.0120
  +4.716 +4.889  5  10  121    1.0356 -0.2661 -0.1977
  +4.889 +5.191  5  10  102    1.0170 -0.0976 -0.1113
