{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.889  5  10  102    1.0157 -0.3127 -0.5000
  -4.889 -4.716  5  10  121    1.0474  0.2651  0.5000
  -4.716 -4.538  5  10  145    0.9391  0.1309  0.3158
  -4.538 -4.363  5  10  173    0.9440 -0.3100 -0.4036
  -4.363 -4.191  5  10  205    0.8801 -0.0352  0.2177
  -4.191 -4.013  5  10  245    0.9735 -0.1652 -0.3970
  -4.013 -3.839  5  10  292    0.9311  0.0047  0.0652
  -3.839 -3.664  5  10  348    0.9718 -0.0661 -0.1881
  -3.664 -3.489  5  10  414    0.9237  0.0396  0.2127
  -3.489 -3.314  5  10  493    0.9783 -0.0031 -0.1096
  -3.314 -3.139  5  10  588    0.9503  0.0484  0.0411
  -3.139 -2.964  5  10  700    0.8583  0.0907  0.5000
  -2.964 -2.853  5  10  781    0.7204  0.1326  0.4999
  -2.853 -2.650  5  10  956    0.7203  0.1569 -0.1369
  -2.650 -2.500  5  10 1108    0.7890  0.1459  0.0762
  -2.500 -2.322  5  10 1321    0.8873  0.0724 -0.3179
  -2.322 -2.172  5  10 1529    0.9596  0.0354 -0.5000
  -2.172 -2.043  5  10 1733    0.9478  0.0376 -0.3132
  -2.043 -1.930  5  10 1933    0.9517  0.0319 -0.3517
  -1.930 -1.830  5  10 2126    0.9410  0.0371 -0.2652
  -1.830 -1.740  5  10 2315    0.9450  0.0420 -0.3288
  -1.740 -1.653  5  10 2511    0.9285  0.0581 -0.1778
  -1.653 -1.566  5  10 2721    0.9340  0.0480 -0.1472
  -1.566 -1.479  5  10 2946    0.9306  0.0225 -0.1452
  -1.479 -1.392  5  10 3183    0.9432  0.0355 -0.0638
  -1.392 -1.305  5  10 3435    0.9603  0.0651  0.0510
  -1.305 -1.218  5  10 3699    0.9828  0.0445 -0.0736
  -1.218 -1.131  5  10 3974    0.9663  0.0362  0.0618
  -1.131 -1.044  5  10 4259    0.9752  0.0221  0.0015
  -1.044 -0.957  5  10 4551    0.9829  0.0169 -0.0037
  -0.957 -0.879  5  10 4816    0.9863  0.0089  0.0156
  -0.879 -0.783  5  10 5141    0.9889  0.0106  0.0403
  -0.783 -0.696  5  10 5430    0.9966  0.0121  0.0294
  -0.696 -0.609  5  10 5708    1.0082 -0.0087 -0.0182
  -0.609 -0.522  5  10 5968    1.0023 -0.0034  0.0242
  -0.522 -0.435  5  10 6203    1.0102 -0.0088 -0.0248
  -0.435 -0.348  5  10 6408    1.0181 -0.0157 -0.0354
  -0.348 -0.261  5  10 6574    1.0110 -0.0159  0.0203
  -0.261 -0.174  5  10 6698    1.0132 -0.0188  0.0031
  -0.174 -0.087  5  10 6774    1.0101 -0.0075  0.0555
  -0.087 -0.000  5  10 6800    1.0134 -0.0260 -0.0071
  +0.000 +0.087  5  10 6800    1.0134 -0.0260 -0.0071
  +0.087 +0.174  5  10 6774    1.0101 -0.0075  0.0555
  +0.174 +0.261  5  10 6698    1.0132 -0.0188  0.0031
  +0.261 +0.348  5  10 6574    1.0110 -0.0159  0.0203
  +0.348 +0.435  5  10 6408    1.0181 -0.0157 -0.0354
  +0.435 +0.522  5  10 6203    1.0102 -0.0088 -0.0248
  +0.522 +0.609  5  10 5968    1.0023 -0.0034  0.0242
  +0.609 +0.696  5  10 5708    1.0082 -0.0087 -0.0182
  +0.696 +0.783  5  10 5430    0.9966  0.0121  0.0294
  +0.783 +0.879  5  10 5141    0.9889  0.0106  0.0403
  +0.879 +0.957  5  10 4816    0.9863  0.0089  0.0156
  +0.957 +1.044  5  10 4551    0.9829  0.0169 -0.0037
  +1.044 +1.131  5  10 4259    0.9752  0.0221  0.0015
  +1.131 +1.218  5  10 3974    0.9663  0.0362  0.0618
  +1.218 +1.305  5  10 3699    0.9828  0.0445 -0.0736
  +1.305 +1.392  5  10 3435    0.9603  0.0651  0.0510
  +1.392 +1.479  5  10 3183    0.9432  0.0355 -0.0638
  +1.479 +1.566  5  10 2946    0.9306  0.0225 -0.1452
  +1.566 +1.653  5  10 2721    0.9340  0.0480 -0.1472
  +1.653 +1.740  5  10 2511    0.9285  0.0581 -0.1778
  +1.740 +1.830  5  10 2315    0.9450  0.0420 -0.3288
  +1.830 +1.930  5  10 2126    0.9410  0.0371 -0.2652
  +1.930 +2.043  5  10 1933    0.9517  0.0319 -0.3517
  +2.043 +2.172  5  10 1733    0.9478  0.0376 -0.3132
  +2.172 +2.322  5  10 1529    0.9596  0.0354 -0.5000
  +2.322 +2.500  5  10 1321    0.8873  0.0724 -0.3179
  +2.500 +2.650  5  10 1108    0.7890  0.1459  0.0762
  +2.650 +2.853  5  10  956    0.7203  0.1569 -0.1369
  +2.853 +2.964  5  10  781    0.7204  0.1326  0.4999
  +2.964 +3.139  5  10  700    0.8583  0.0907  0.5000
  +3.139 +3.314  5  10  588    0.9503  0.0484  0.0411
  +3.314 +3.489  5  10  493    0.9783 -0.0031 -0.1096
  +3.489 +3.664  5  10  414    0.9237  0.0396  0.2127
  +3.664 +3.839  5  10  348    0.9718 -0.0661 -0.1881
  +3.839 +4.013  5  10  292    0.9311  0.0047  0.0652
  +4.013 +4.191  5  10  245    0.9735 -0.1652 -0.3970
  +4.191 +4.363  5  10  205    0.8801 -0.0352  0.2177
  +4.363 +4.538  5  10  173    0.9440 -0.3100 -0.4036
  +4.538 +4.716  5  10  145    0.9391  0.1309  0.3158
  +4.716 +4.889  5  10  121    1.0474  0.2651  0.5000
  +4.889 +5.191  5  10  102    1.0157 -0.3127 -0.5000
