{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.889  5  10  102    0.8433  0.0914  0.4936
  -4.889 -4.716  5  10  121    0.8444  0.1505  0.5000
  -4.716 -4.538  5  10  145    0.9507 -0.2252 -0.5000
  -4.538 -4.363  5  10  173    0.9044 -0.0385  0.0154
  -4.363 -4.191  5  10  205    0.8718  0.0250  0.1775
  -4.191 -4.013  5  10  245    0.9606 -0.1093 -0.3058
  -4.013 -3.839  5  10  292    0.9044  0.0407  0.1469
  -3.839 -3.664  5  10  348    0.8975  0.1075  0.3196
  -3.664 -3.489  5  10  414    0.9279  0.0081  0.0802
  -3.489 -3.314  5  10  493    0.9580  0.0167  0.0197
  -3.314 -3.139  5  10  588    0.9309  0.0638  0.1608
  -3.139 -2.964  5  10  700    0.8595  0.0881  0.4329
  -2.964 -2.853  5  10  781    0.7220  0.1271  0.5000
  -2.853 -2.650  5  10  956    0.7096  0.1598 -0.0976
  -2.650 -2.500  5  10 1108    0.7758  0.1513  0.1077
  -2.500 -2.322  5  10 1321    0.8997  0.0490 -0.5000
  -2.322 -2.172  5  10 1529    0.9515  0.0392 -0.5000
  -2.172 -2.043  5  10 1733    0.9467  0.0339 -0.3849
  -2.043 -1.930  5  10 1933    0.9446  0.0354 -0.3778
  -1.930 -1.830  5  10 2126    0.9424  0.0326 -0.3348
  -1.830 -1.740  5  10 2315    0.9403  0.0422 -0.3475
  -1.740 -1.653  5  10 2511    0.9341  0.0499 -0.2410
  -1.653 -1.566  5  10 2721    0.9341  0.0470 -0.1998
  -1.566 -1.479  5  10 2946    0.9318  0.0198 -0.1743
  -1.479 -1.392  5  10 3183    0.9487  0.0288 -0.1153
  -1.392 -1.305  5  10 3435    0.9643  0.0604  0.0075
  -1.305 -1.218  5  10 3699    0.9734  0.0551 -0.0204
  -1.218 -1.131  5  10 3974    0.9683  0.0363  0.0227
  -1.131 -1.044  5  10 4259    0.9730  0.0235  0.0285
  -1.044 -0.957  5  10 4551    0.9780  0.0222  0.0290
  -0.957 -0.879  5  10 4816    0.9874  0.0067 -0.0096
  -0.879 -0.783  5  10 5141    0.9938  0.0049 -0.0002
  -0.783 -0.696  5  10 5430    0.9955  0.0131  0.0420
  -0.696 -0.609  5  10 5708    0.9987  0.0006  0.0344
  -0.609 -0.522  5  10 5968    1.0041 -0.0052  0.0249
  -0.522 -0.435  5  10 6203    1.0132 -0.0110 -0.0350
  -0.435 -0.348  5  10 6408    1.0161 -0.0127 -0.0217
  -0.348 -0.261  5  10 6574    1.0145 -0.0193 -0.0052
  -0.261 -0.174  5  10 6698    1.0148 -0.0200  0.0246
  -0.174 -0.087  5  10 6774    1.0119 -0.0087  0.0456
  -0.087 -0.000  5  10 6800    1.0149 -0.0284  0.0108
  +0.000 +0.087  5  10 6800    1.0149 -0.0284  0.0108
  +0.087 +0.174  5  10 6774    1.0119 -0.0087  0.0456
  +0.174 +0.261  5  10 6698    1.0148 -0.0200  0.0246
  +0.261 +0.348  5  10 6574    1.0145 -0.0193 -0.0052
  +0.348 +0.435  5  10 6408    1.0161 -0.0127 -0.0217
  +0.435 +0.522  5  10 6203    1.0132 -0.0110 -0.0350
  +0.522 +0.609  5  10 5968    1.0041 -0.0052  0.0249
  +0.609 +0.696  5  10 5708    0.9987  0.0006  0.0344
  +0.696 +0.783  5  10 5430    0.9955  0.0131  0.0420
  +0.783 +0.879  5  10 5141    0.9938  0.0049 -0.0002
  +0.879 +0.957  5  10 4816    0.9874  0.0067 -0.0096
  +0.957 +1.044  5  10 4551    0.9780  0.0222  0.0290
  +1.044 +1.131  5  10 4259    0.9730  0.0235  0.0285
  +1.131 +1.218  5  10 3974    0.9683  0.0363  0.0227
  +1.218 +1.305  5  10 3699    0.9734  0.0551 -0.0204
  +1.305 +1.392  5  10 3435    0.9643  0.0604  0.0075
  +1.392 +1.479  5  10 3183    0.9487  0.0288 -0.1153
  +1.479 +1.566  5  10 2946    0.9318  0.0198 -0.1743
  +1.566 +1.653  5  10 2721    0.9341  0.0470 -0.1998
  +1.653 +1.740  5  10 2511    0.9341  0.0499 -0.2410
  +1.740 +1.830  5  10 2315    0.9403  0.0422 -0.3475
  +1.830 +1.930  5  10 2126    0.9424  0.0326 -0.3348
  +1.930 +2.043  5  10 1933    0.9446  0.0354 -0.3778
  +2.043 +2.172  5  10 1733    0.9467  0.0339 -0.3849
  +2.172 +2.322  5  10 1529    0.9515  0.0392 -0.5000
  +2.322 +2.500  5  10 1321    0.8997  0.0490 -0.5000
  +2.500 +2.650  5  10 1108    0.7758  0.1513  0.1077
  +2.650 +2.853  5  10  956    0.7096  0.1598 -0.0976
  +2.853 +2.964  5  10  781    0.7220  0.1271  0.5000
  +2.964 +3.139  5  10  700    0.8595  0.0881  0.4329
  +3.139 +3.314  5  10  588    0.9309  0.0638  0.1608
  +3.314 +3.489  5  10  493    0.9580  0.0167  0.0197
  +3.489 +3.664  5  10  414    0.9279  0.0081  0.0802
  +3.664 +3.839  5  10  348    0.8975  0.1075  0.3196
  +3.839 +4.013  5  10  292    0.9044  0.0407  0.1469
  +4.013 +4.191  5  10  245    0.9606 -0.1093 -0.3058
  +4.191 +4.363  5  10  205    0.8718  0.0250  0.1775
  +4.363 +4.538  5  10  173    0.9044 -0.0385  0.0154
  +4.538 +4.716  5  10  145    0.9507 -0.2252 -0.5000
  +4.716 +4.889  5  10  121    0.8444  0.1505  0.5000
  +4.889 +5.191  5  10  102    0.8433  0.0914  0.4936
