{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.889  5  10  102    0.9907  0.0600  0.1762
  -4.889 -4.716  5  10  121    0.9162  0.0142  0.5000
  -4.716 -4.538  5  10  145    0.9509  0.0947  0.1210
  -4.538 -4.363  5  10  173    0.8999  0.0854  0.3088
  -4.363 -4.191  5  10  205    0.9202 -0.0858 -0.0951
  -4.191 -4.013  5  10  245    0.9401 -0.0311 -0.0641
  -4.013 -3.839  5  10  292    0.9166  0.0546  0.1642
  -3.839 -3.664  5  10  348    0.9318  0.0274  0.1422
  -3.664 -3.489  5  10  414    0.9381  0.0224  0.1019
  -3.489 -3.314  5  10  493    0.9546  0.0352  0.0790
  -3.314 -3.139  5  10  588    0.9484  0.0503  0.0864
  -3.139 -2.964  5  10  700    0.8748  0.0870  0.3590
  -2.964 -2.853  5  10  781    0.7515  0.1216  0.4212
  -2.853 -2.650  5  10  956    0.7806  0.0937 -0.4777
  -2.650 -2.500  5  10 1108    0.8299  0.1078 -0.1542
  -2.500 -2.322  5  10 1321    0.9190  0.0440 -0.5000
  -2.322 -2.172  5  10 1529    0.9692  0.0298 -0.5000
  -2.172 -2.043  5  10 1733    0.9664  0.0201 -0.4187
  -2.043 -1.930  5  10 1933    0.9714  0.0136 -0.4589
  -1.930 -1.830  5  10 2126    0.9504  0.0300 -0.2826
  -1.830 -1.740  5  10 2315    0.9580  0.0291 -0.3698
  -1.740 -1.653  5  10 2511    0.9512  0.0371 -0.2705
  -1.653 -1.566  5  10 2721    0.9456  0.0393 -0.1806
  -1.566 -1.479  5  10 2946    0.9409  0.0121 -0.1434
  -1.479 -1.392  5  10 3183    0.9511  0.0253 -0.0632
  -1.392 -1.305  5  10 3435    0.9661  0.0577  0.0276
  -1.305 -1.218  5  10 3699    0.9758  0.0527  0.0140
  -1.218 -1.131  5  10 3974    0.9704  0.0364  0.0637
  -1.131 -1.044  5  10 4259    0.9793  0.0165  0.0096
  -1.044 -0.957  5  10 4551    0.9837  0.0149  0.0042
  -0.957 -0.879  5  10 4816    0.9873  0.0078  0.0019
  -0.879 -0.783  5  10 5141    0.9927  0.0051  0.0059
  -0.783 -0.696  5  10 5430    0.9945  0.0154  0.0488
  -0.696 -0.609  5  10 5708    1.0047 -0.0046 -0.0078
  -0.609 -0.522  5  10 5968    1.0051 -0.0064  0.0146
  -0.522 -0.435  5  10 6203    1.0116 -0.0099 -0.0305
  -0.435 -0.348  5  10 6408    1.0160 -0.0131 -0.0226
  -0.348 -0.261  5  10 6574    1.0108 -0.0159  0.0029
  -0.261 -0.174  5  10 6698    1.0116 -0.0172  0.0033
  -0.174 -0.087  5  10 6774    1.0088 -0.0049  0.0383
  -0.087 -0.000  5  10 6800    1.0119 -0.0251 -0.0074
  +0.000 +0.087  5  10 6800    1.0119 -0.0251 -0.0074
  +0.087 +0.174  5  10 6774    1.0088 -0.0049  0.0383
  +0.174 +0.261  5  10 6698    1.0116 -0.0172  0.0033
  +0.261 +0.348  5  10 6574    1.0108 -0.0159  0.0029
  +0.348 +0.435  5  10 6408    1.0160 -0.0131 -0.0226
  +0.435 +0.522  5  10 6203    1.0116 -0.0099 -0.0305
  +0.522 +0.609  5  10 5968    1.0051 -0.0064  0.0146
  +0.609 +0.696  5  10 5708    1.0047 -0.0046 -0.0078
  +0.696 +0.783  5  10 5430    0.9945  0.0154  0.0488
  +0.783 +0.879  5  10 5141    0.9927  0.0051  0.0059
  +0.879 +0.957  5  10 4816    0.9873  0.0078  0.0019
  +0.957 +1.044  5  10 4551    0.9837  0.0149  0.0042
  +1.044 +1.131  5  10 4259    0.9793  0.0165  0.0096
  +1.131 +1.218  5  10 3974    0.9704  0.0364  0.0637
  +1.218 +1.305  5  10 3699    0.9758  0.0527  0.0140
  +1.305 +1.392  5  10 3435    0.9661  0.0577  0.0276
  +1.392 +1.479  5  10 3183    0.9511  0.0253 -0.0632
  +1.479 +1.566  5  10 2946    0.9409  0.0121 -0.1434
  +1.566 +1.653  5  10 2721    0.9456  0.0393 -0.1806
  +1.653 +1.740  5  10 2511    0.9512  0.0371 -0.2705
  +1.740 +1.830  5  10 2315    0.9580  0.0291 -0.3698
  +1.830 +1.930  5  10 2126    0.9504  0.0300 -0.2826
  +1.930 +2.043  5  10 1933    0.9714  0.0136 -0.4589
  +2.043 +2.172  5  10 1733    0.9664  0.0201 -0.4187
  +2.172 +2.322  5  10 1529    0.9692  0.0298 -0.5000
  +2.322 +2.500  5  10 1321    0.9190  0.0440 -0.5000
  +2.500 +2.650  5  10 1108    0.8299  0.1078 -0.1542
  +2.650 +2.853  5  10  956    0.7806  0.0937 -0.4777
  +2.853 +2.964  5  10  781    0.7515  0.1216  0.4212
  +2.964 +3.139  5  10  700    0.8748  0.0870  0.3590
  +3.139 +3.314  5  10  588    0.9484  0.0503  0.0864
  +3.314 +3.489  5  10  493    0.9546  0.0352  0.0790
  +3.489 +3.664  5  10  414    0.9381  0.0224  0.1019
  +3.664 +3.839  5  10  348    0.9318  0.0274  0.1422
  +3.839 +4.013  5  10  292    0.9166  0.0546  0.1642
  +4.013 +4.191  5  10  245    0.9401 -0.0311 -0.0641
  +4.191 +4.363  5  10  205    0.9202 -0.0858 -0.0951
  +4.363 +4.538  5  10  173    0.8999  0.0854  0.3088
  +4.538 +4.716  5  10  145    0.9509  0.0947  0.1210
  +4.716 +4.889  5  10  121    0.9162  0.0142  0.5000
  +4.889 +5.191  5  10  102    0.9907  0.0600  0.1762
